year,quarter,rpi
2025,4,203.6
2025,3,203.7
2025,2,202.9
2025,1,201.0
2024,4,197.9
2024,3,192.9
2024,2,187.9
2024,1,183.7
2023,4,180.4
2023,3,178.5
2023,2,176.2
2023,1,173.6
2022,4,171.9
2022,3,168.1
2022,2,163.9
2022,1,159.5
2021,4,155.7
2021,3,150.6
2021,2,146.4
2021,1,142.2
2020,4,138.1
2020,3,133.9
2020,2,131.9
2020,1,131.5
2019,4,131.5
2019,3,130.9
2019,2,130.8
2019,1,131.0
2018,4,131.4
2018,3,131.6
2018,2,131.7
2018,1,131.6
2017,4,132.6
2017,3,132.8
2017,2,133.7
2017,1,133.9
2016,4,134.6
2016,3,134.7
2016,2,134.7
2016,1,134.7
